id,ts,temperaturaBodega,puerta,movimiento
perimetro-bodega-01,2026-09-24T13:54:00.674Z,27.03,0,0
perimetro-bodega-01,2026-09-24T14:18:07.527Z,27.36,0,0
perimetro-bodega-01,2026-09-24T14:40:42.805Z,27.69,0,0
perimetro-bodega-01,2026-09-24T14:42:13.164Z,27.89,0,0
perimetro-bodega-01,2026-09-24T14:54:16.068Z,27.91,0,0
perimetro-bodega-01,2026-09-24T15:10:50.08Z,27.71,0,0
perimetro-bodega-01,2026-09-24T15:12:20.399Z,27.91,0,0
perimetro-bodega-01,2026-09-24T15:43:57.998Z,28.61,0,0
perimetro-bodega-01,2026-09-24T16:29:08.618Z,29.11,0,0
perimetro-bodega-01,2026-09-24T16:30:38.959Z,29.03,1,1
perimetro-bodega-01,2026-09-24T17:14:11.039Z,28.99,0,0
perimetro-bodega-01,2026-09-24T17:15:41.378Z,29.14,1,0
perimetro-bodega-01,2026-09-24T17:32:15.442Z,29.07,0,0
perimetro-bodega-01,2026-09-24T17:33:45.786Z,29.1,0,1
perimetro-bodega-01,2026-09-24T17:48:49.303Z,29.06,0,0
perimetro-bodega-01,2026-09-24T17:59:21.727Z,29.57,0,0
perimetro-bodega-01,2026-09-24T18:00:52.103Z,29.11,0,0
perimetro-bodega-01,2026-09-24T18:23:27.372Z,29.25,0,0
perimetro-bodega-01,2026-09-24T19:11:38.892Z,29.73,0,0
perimetro-bodega-01,2026-09-24T19:13:09.281Z,29.76,0,0
perimetro-bodega-01,2026-09-24T21:49:08.14Z,28.62,0,0
perimetro-bodega-01,2026-09-24T21:50:38.486Z,28.64,0,1
perimetro-bodega-01,2026-09-24T21:52:08.847Z,28.89,0,0
perimetro-bodega-01,2026-09-24T23:11:59.278Z,27.99,0,0
perimetro-bodega-01,2026-09-24T23:13:29.658Z,27.58,0,1
perimetro-bodega-01,2026-09-25T01:09:18.586Z,25.94,1,0
perimetro-bodega-01,2026-09-25T01:10:48.866Z,26.14,1,0
perimetro-bodega-01,2026-09-25T01:15:19.897Z,25.76,0,0
perimetro-bodega-01,2026-09-25T01:16:50.261Z,26.11,0,0
perimetro-bodega-01,2026-09-25T01:18:20.613Z,26.22,0,0
perimetro-bodega-01,2026-09-25T01:19:51.02Z,26.16,1,0
perimetro-bodega-01,2026-09-25T01:21:21.367Z,26.12,0,0
perimetro-bodega-01,2026-09-25T01:22:51.721Z,25.88,0,0
perimetro-bodega-01,2026-09-25T02:23:05.654Z,25.16,0,0
perimetro-bodega-01,2026-09-25T02:38:09.19Z,24.9,0,0
perimetro-bodega-01,2026-09-24T14:04:34.429Z,26.94,0,0
perimetro-bodega-01,2026-09-24T14:06:04.786Z,27.02,0,0
perimetro-bodega-01,2026-09-24T14:07:35.116Z,27.16,1,0
perimetro-bodega-01,2026-09-24T15:28:54.378Z,28.37,1,0
