id,ts,humedadSuelo,temperaturaSuelo,conductividad,iluminanciaPAR
lote-cultivo-03,2026-09-24T14:07:47.681Z,22,,,9842.4
lote-cultivo-01,2026-09-24T14:26:38.875Z,15.247670992309336,50.21575153800077,57.38618619719891,33.58248087164276
lote-cultivo-01,2026-09-24T14:27:53.383Z,24.140585092271532,37.60478597276028,59.66300789927698,82.36817319840013
lote-cultivo-01,2026-09-24T14:29:08.889Z,55.528386489218065,29.50943259636687,14.73133057329366,58.012704458139595
lote-cultivo-01,2026-09-24T14:30:23.4Z,39.33303718251465,25.771584307430956,72.2161314536765,20.277669752651555
lote-cultivo-01,2026-09-24T15:01:26.416Z,39.013182626141095,23.71250586654702,68.91575202236174,42.257327330590435
lote-cultivo-01,2026-09-24T15:02:40.941Z,34.78655728389302,59.69038124678938,20.243652534685992,61.9921126614091
lote-cultivo-03,2026-09-24T15:13:56.807Z,22,,,12270.8
lote-cultivo-03,2026-09-24T15:14:56.962Z,22,,,11578
lote-cultivo-03,2026-09-24T15:15:57.09Z,22,,,12720.4
lote-cultivo-03,2026-09-24T15:28:58.91Z,22,,,15985.4
lote-cultivo-03,2026-09-24T15:29:59.048Z,22,,,16326
lote-cultivo-03,2026-09-24T15:30:59.172Z,22,,,16151.6
lote-cultivo-03,2026-09-24T15:31:59.315Z,22,,,12383.2
lote-cultivo-03,2026-09-24T15:32:59.457Z,22,,,14697.2
lote-cultivo-03,2026-09-24T15:39:00.286Z,22,,,16323.3
lote-cultivo-03,2026-09-24T15:40:00.429Z,22,,,15701
lote-cultivo-03,2026-09-24T15:50:01.813Z,22,,,12379.4
lote-cultivo-03,2026-09-24T15:51:01.955Z,22,,,13951
lote-cultivo-03,2026-09-24T15:52:02.088Z,22,,,17100.1
lote-cultivo-03,2026-09-24T15:53:02.21Z,22,,,16000.4
lote-cultivo-01,2026-09-24T16:09:46.983Z,74.44591679121068,47.027751238435776,58.79752170897559,12.955411083052963
lote-cultivo-01,2026-09-24T16:11:01.511Z,67.21557732520134,56.76323088415014,8.725376768565143,70.17143678518264
lote-cultivo-01,2026-09-24T16:12:16.049Z,23.342028109803763,71.76424008743523,77.10204061755839,47.0423295494096
lote-cultivo-01,2026-09-24T16:32:08.47Z,90.83689097785836,76.85974783777905,50.5409996675474,48.684561455358086
lote-cultivo-01,2026-09-24T16:33:22.989Z,71.84307851049853,77.03531933318027,25.79001202749783,56.03337830298871
lote-cultivo-01,2026-09-24T16:42:04.654Z,68.01394090384136,70.10918806155007,24.404087272497364,55.91641787882698
lote-cultivo-01,2026-09-24T16:43:19.159Z,47.26979598243958,88.97039425365082,51.29800048482085,34.71880089275268
lote-cultivo-01,2026-09-24T17:10:39.601Z,37.214559530349234,55.2101980750937,49.78609089831398,89.48069772657448
lote-cultivo-01,2026-09-24T17:11:54.109Z,61.948493436848665,71.02357830904121,72.0061373390516,36.34974700108404
lote-cultivo-01,2026-09-24T17:13:08.637Z,35.781543820952905,82.10459111975653,44.64211486936359,62.553584365344214
lote-cultivo-03,2026-09-24T17:38:33.687Z,23.58,,,14545.7
lote-cultivo-01,2026-09-24T17:39:15.54Z,52.03180745637139,47.21397148673184,34.747121900779746,38.875386703008175
lote-cultivo-01,2026-09-24T17:44:13.631Z,23.6549693974481,56.528613412973414,29.5644844597841,67.76247264381301
lote-cultivo-01,2026-09-24T17:45:28.153Z,24.395646585625304,52.55124824159246,80.08209916332535,64.32896643748508
lote-cultivo-01,2026-09-24T17:52:56.224Z,27.595660346361488,58.602381319294494,30.361849347993303,28.32445832065157
lote-cultivo-03,2026-09-24T18:28:40.752Z,22,,,16045.1
lote-cultivo-03,2026-09-24T18:29:40.89Z,22,,,15467.5
lote-cultivo-03,2026-09-24T18:30:41.029Z,22,,,16440.9
lote-cultivo-03,2026-09-24T19:25:48.967Z,22,,,13487.9
lote-cultivo-03,2026-09-24T19:34:50.233Z,22,,,11894.2
lote-cultivo-03,2026-09-24T19:35:50.374Z,22,,,9897.1
lote-cultivo-01,2026-09-24T19:37:20.718Z,84.06900007203788,61.926798735742736,40.8501675392383,81.78348424940248
lote-cultivo-01,2026-09-24T19:43:33.295Z,28.634983853670537,31.558869404749,15.318697016098346,60.446227913028935
lote-cultivo-03,2026-09-24T19:43:51.503Z,22,,,9749.8
lote-cultivo-03,2026-09-24T19:44:51.641Z,22,,,12351.8
lote-cultivo-01,2026-09-24T19:44:47.823Z,58.40167022120837,18.20092948317102,69.076987048663,40.83555511753983
lote-cultivo-03,2026-09-24T19:45:51.782Z,22,,,12117.5
lote-cultivo-01,2026-09-24T19:46:02.342Z,86.6810048697926,45.35746920387267,46.47004336335673,62.425534106217384
lote-cultivo-01,2026-09-24T20:48:08.472Z,47.82928567884015,81.41655587792708,34.26303613454233,16.583946762271886
lote-cultivo-03,2026-09-24T21:41:24.615Z,22,,,5074.8
lote-cultivo-03,2026-09-24T21:43:24.879Z,22,,,5381.4
lote-cultivo-01,2026-09-24T21:44:02.268Z,66.05458737154198,52.79655487111092,49.32305605146471,28.105790959323507
lote-cultivo-01,2026-09-24T22:11:24.602Z,81.95731483835858,31.299509952841532,62.47452511353922,23.816748876239252
lote-cultivo-03,2026-09-24T22:11:28.736Z,22,,,3037.4
lote-cultivo-03,2026-09-24T22:12:28.872Z,22,,,3284.2
lote-cultivo-03,2026-09-24T22:36:32.207Z,25.39,,,1488.7
lote-cultivo-03,2026-09-24T22:37:32.343Z,25.35,,,1338.1
lote-cultivo-03,2026-09-24T22:38:32.481Z,30.92,,,1463.4
lote-cultivo-03,2026-09-24T22:39:32.632Z,30.86,,,1276.8
lote-cultivo-01,2026-09-24T22:40:00.441Z,22.260335090316016,58.090684506831366,44.31931431227186,39.69351992503137
lote-cultivo-03,2026-09-24T22:40:32.772Z,30.77,,,1496.8
lote-cultivo-03,2026-09-24T22:44:33.323Z,34.27,,,884.5
lote-cultivo-03,2026-09-24T22:45:33.46Z,34.19,,,962.9
lote-cultivo-03,2026-09-24T22:46:33.656Z,34.03,,,964.1
lote-cultivo-01,2026-09-24T22:56:10.227Z,38.990504202227726,58.92966327397564,29.44589764908822,46.11101558352617
lote-cultivo-01,2026-09-24T22:57:24.739Z,11.526495487059028,61.60368686249288,83.55731016714718,67.70054149556954
lote-cultivo-01,2026-09-24T22:58:39.263Z,49.42402391255346,57.87938880825644,46.09595126586707,12.425870250330048
lote-cultivo-03,2026-09-24T23:03:36.025Z,32.13,,,0
lote-cultivo-03,2026-09-24T23:04:36.161Z,31.92,,,0
lote-cultivo-01,2026-09-24T23:04:51.831Z,62.78599809864415,45.25027983344235,31.116616696248656,28.78132115733839
